NO,gender,height,weight,fat_kg,mm_kg,somatotype
1,1,177.07,70.7,13.9,53.4,1
2,1,175.68,68.4,3.7,61.1,1
3,1,174.38,74.8,12.1,59.1,1
4,1,169.64,65.1,6.4,55.3,1
5,1,172.06,64,5,55.5,1
6,1,176.63,63.2,6,53.5,1
7,1,176.57,78.2,16.6,57.9,1
8,1,176.84,91,20.1,67,1
9,1,186.82,93.3,26.2,62.8,1
10,1,181.99,73.9,7.7,62.5,1
11,1,178.82,70.2,14.2,52.8,0
12,1,181.47,56.5,5.3,48.5,2
13,1,166.13,61,11,47.2,1
14,1,177.84,72.5,8,60.5,1
15,1,182.1,70.2,10.9,55.7,1
16,1,175.89,68.8,6.4,59,1
17,1,171.26,69.1,9,56.8,1
18,1,181.03,84.2,10.4,69.5,1
19,1,183.93,73.9,8.7,61.4,1
20,1,188.06,86.5,12.3,70,1
21,1,176.52,95.2,30.6,60.8,1
22,1,180.98,84.8,25.3,56.1,0
23,1,180.08,76.7,13.9,59.2,1
24,1,173.52,81.9,20.7,57.5,1
25,1,178.35,92.3,24,64.3,1
26,1,178.94,80.8,10.6,66,1
27,1,178.15,91.5,19.8,67.6,1
28,1,174.42,76.1,16.3,56.4,1
29,1,185.83,71.8,11.6,56.8,1
30,1,173.42,96.2,30.8,61.7,1
31,1,177.59,83.7,17.6,62.2,1
32,1,176.22,70.3,14.5,52.7,1
33,1,176.83,81,13.9,63.3,1
34,1,175.22,62,7.1,51.7,1
35,1,179.9,73.9,10.9,59.3,1
36,1,171.27,70,20.6,46.6,1
37,1,171.51,63.5,10.1,50.6,1
38,1,179.96,68.7,6.6,58.6,1
39,1,185.98,83.8,15,64.7,1
40,1,179.55,70.5,8.6,58.4,1
41,1,177.48,76.5,12.2,60.7,1
42,1,170.37,63.1,12.8,47.4,1
43,1,180.71,78.5,15.5,59.1,1
44,1,167.57,74.1,17.4,53.5,1
45,1,186.42,110.6,25.4,80.1,1
46,1,183.76,89.6,16.7,68.3,1
47,1,187.7,98.4,18.7,74.8,1
48,1,176.24,109.3,30.7,73.9,1
49,1,175.1,87.1,15.2,67.5,1
50,1,181.32,101.6,33.2,64.5,1
51,1,191.83,93.5,26.2,63.2,0
52,1,176.22,75,6,65.1,1
53,1,173.72,72,15.3,53.4,0
54,1,172.72,68.8,8,57.2,1
55,1,186.37,67.2,13.3,51,2
56,1,183.87,74.9,8.9,62.3,1
57,1,173.17,78.5,15.9,58.9,1
58,1,168.48,50.1,7,40.7,2
59,1,179.04,58.9,7.9,48.3,2
60,2,168.18,56.3,14.4,39.2,0
61,2,162.2,51.2,15.2,33.9,0
62,2,168.24,47.6,8.9,36.3,2
63,2,165.77,52,12.2,37.4,0
64,2,156.37,40.7,9,29.9,0
65,2,168.45,58.7,14.1,41.9,0
66,2,165.5,65.9,24.7,38.7,0
67,2,173.88,53,11.3,39.3,0
68,2,173.99,66,19.5,43.7,0
69,2,166.3,61.7,17.7,41.2,0
70,2,172.6,61.1,14.5,43.8,0
71,2,166.69,50.6,7.7,40.4,0
72,2,170.01,55.3,15.7,37.2,0
73,2,171.49,51.47,12.4,36.6,0
74,2,171.05,49.1,10.6,36.1,0
75,2,159.78,46.4,8.2,35.2,0
76,2,166.56,65.1,20.7,43.2,0
77,2,167.83,65.1,17.9,44.2,0
78,2,159.7,61.8,19.2,40.1,0
79,2,166.12,51.7,11.6,37.6,0
80,2,168.43,58.8,15.6,40.6,0
81,2,167.01,56.5,16.8,37.3,0
82,2,164.03,62.6,18.2,41.6,0
83,2,159.73,50.1,12,35.8,0
84,2,167,69.6,25.1,41.9,0
85,2,157.13,51.3,11.2,37.7,0
86,2,162.75,50.9,10.8,37.8,0
87,2,159.83,46.6,7.6,36.6,1
88,2,168.13,62,16.1,43,0
89,2,155.87,44.1,10.4,31.6,0
90,2,179.38,74.5,21.4,49.6,0
91,2,173.51,66.6,18.5,45.1,0
92,2,172.91,70.3,16.9,50.2,0
93,2,170.1,77.3,27.8,46.5,0
94,2,170.32,67.4,16.4,47.9,1
95,2,169.38,83.9,28.1,52.5,1
96,2,170.4,69.5,17.2,49.1,0
97,2,171.21,66.6,14.8,48.8,0
98,2,168.33,58.1,13.8,41.4,0
99,2,164.84,63.1,14.2,45.9,0
100,2,158.9,49.8,10.2,37.3,0
101,2,163.15,73.3,24.6,45.8,0
102,2,160.57,63.6,18.6,42.4,0
103,2,171.34,51.8,11.8,37.6,0
104,2,161.27,71.3,22.4,46,0
105,2,164.84,44.9,10.4,32.4,2
106,1,174.16,83.9,25.1,55.4,1
107,1,165.24,84.6,26.4,55.1,1
108,1,164.13,65.8,16.1,46.9,1
109,1,167.94,73.9,15.8,55,1
110,1,176.28,83.8,19.9,60.1,1
111,1,176.8,77.1,18,55.6,0
112,1,175.71,87.4,26.9,57,1
113,1,173.15,88.7,27.1,58.1,1
114,1,181.52,74,13.8,56.7,1
115,1,181.32,72.6,15.5,54,1
116,1,176.06,86.1,25.6,57.1,1
117,1,163.79,67.1,19.6,44.8,1
118,1,180.68,99.9,34.3,61.9,1
119,1,184.71,80.2,16.1,60.5,0
120,1,176.29,80.8,24.5,53.1,0
121,1,162.41,72.1,23.4,45.9,1
122,1,182.58,96.1,27.5,64.6,1
123,1,166.36,70.3,21.9,45.7,0
124,1,180.54,83.7,23.2,57.3,1
125,1,161.98,72.6,23.4,46.5,0
126,1,168.07,69.5,15.2,51.4,1
127,1,169.88,78.1,18.3,56.7,1
128,1,167.36,77,17.6,56.1,1
