level_0,index,ScheduleID,CompanyID,HomeWin,Standoff,GuestWin,ModifyTime,Company_name
133,814,371333,23,2.0,3.2,3.28,2010-02-26 13:50:00.000,188bet
48,729,371333,19,2.0,3.2,3.5,2010-02-26 21:51:00.000,interwetten
45,726,371333,22,2.0,3.2,3.5,2010-02-26 22:04:00.000,10bet
201,882,371333,35,2.11,3.26,3.26,2010-02-26 23:16:00.000,wewbet
12,693,371333,8,2.04,3.15,3.65,2010-02-26 23:17:00.000,Bet365
200,881,371333,35,2.0,3.17,3.66,2010-02-26 23:25:00.000,wewbet
35,716,371333,17,2.05,3.2,3.6,2010-02-26 23:26:00.000,mansion88
11,692,371333,8,2.04,3.2,3.6,2010-02-26 23:28:00.000,Bet365
199,880,371333,35,2.0,3.21,3.61,2010-02-26 23:34:00.000,wewbet
34,715,371333,17,2.09,3.2,3.5,2010-02-26 23:55:00.000,mansion88
10,691,371333,8,2.1,3.15,3.45,2010-02-27 00:00:00.000,Bet365
9,690,371333,9,2.05,3.15,3.55,2010-02-27 00:02:00.000,Willhill
198,879,371333,35,2.04,3.18,3.51,2010-02-27 00:06:00.000,wewbet
197,878,371333,35,2.03,3.2,3.52,2010-02-27 00:49:00.000,wewbet
12,693,371333,14,2.1,3.25,3.25,2010-02-27 01:25:00.000,vcbet
196,877,371333,35,2.03,3.2,3.54,2010-02-27 01:54:00.000,wewbet
44,725,371333,22,2.05,3.2,3.35,2010-02-27 02:17:00.000,10bet
47,728,371333,19,2.05,3.2,3.35,2010-02-27 02:18:00.000,interwetten
195,876,371333,35,2.03,3.2,3.52,2010-02-27 02:23:00.000,wewbet
33,714,371333,17,2.13,3.2,3.4,2010-02-27 02:38:00.000,mansion88
9,690,371333,8,2.2,3.1,3.3,2010-02-27 02:43:00.000,Bet365
46,727,371333,19,2.1,3.2,3.25,2010-02-27 02:48:00.000,interwetten
194,875,371333,35,2.1,3.16,3.39,2010-02-27 02:50:00.000,wewbet
43,724,371333,22,2.1,3.2,3.25,2010-02-27 02:56:00.000,10bet
193,874,371333,35,2.1,3.15,3.39,2010-02-27 03:21:00.000,wewbet
192,873,371333,35,2.1,3.16,3.39,2010-02-27 03:37:00.000,wewbet
45,726,371333,19,2.14,3.2,3.15,2010-02-27 03:56:00.000,interwetten
42,723,371333,22,2.14,3.2,3.15,2010-02-27 04:09:00.000,10bet
191,872,371333,35,2.11,3.15,3.37,2010-02-27 04:40:00.000,wewbet
190,871,371333,35,2.1,3.14,3.38,2010-02-27 04:46:00.000,wewbet
32,713,371333,17,2.17,3.2,3.3,2010-02-27 04:53:00.000,mansion88
189,870,371333,35,2.11,3.15,3.37,2010-02-27 04:57:00.000,wewbet
2,683,371333,1,2.15,3.15,3.13,2010-02-27 05:18:00.000,Macauslot
11,692,371333,12,2.15,3.3,3.2,2010-02-27 05:24:00.000,easybet
188,869,371333,35,2.13,3.16,3.29,2010-02-27 05:31:00.000,wewbet
44,725,371333,19,2.2,3.2,3.0,2010-02-27 05:36:00.000,interwetten
41,722,371333,22,2.2,3.2,3.0,2010-02-27 05:39:00.000,10bet
31,712,371333,17,2.15,3.2,3.3,2010-02-27 05:45:00.000,mansion88
30,711,371333,17,2.16,3.2,3.3,2010-02-27 05:47:00.000,mansion88
187,868,371333,35,2.1,3.15,3.39,2010-02-27 05:48:00.000,wewbet
29,710,371333,17,2.15,3.2,3.3,2010-02-27 05:49:00.000,mansion88
28,709,371333,17,2.16,3.2,3.3,2010-02-27 05:50:00.000,mansion88
186,867,371333,35,2.09,3.17,3.37,2010-02-27 05:54:00.000,wewbet
43,724,371333,19,2.17,3.2,3.3,2010-02-27 06:16:00.000,interwetten
40,721,371333,22,2.17,3.2,3.3,2010-02-27 06:18:00.000,10bet
185,866,371333,35,2.09,3.18,3.37,2010-02-27 06:39:00.000,wewbet
184,865,371333,35,2.09,3.18,3.38,2010-02-27 06:50:00.000,wewbet
42,723,371333,19,2.2,3.2,3.2,2010-02-27 06:53:00.000,interwetten
39,720,371333,22,2.2,3.2,3.2,2010-02-27 06:55:00.000,10bet
11,692,371333,14,2.2,3.25,3.3,2010-02-27 06:56:00.000,vcbet
137,818,371333,24,2.1,3.1,3.1,2010-02-27 07:01:00.000,12bet
183,864,371333,35,2.09,3.18,3.37,2010-02-27 07:02:00.000,wewbet
27,708,371333,17,2.23,3.2,3.15,2010-02-27 07:18:00.000,mansion88
182,863,371333,35,2.09,3.17,3.4,2010-02-27 07:20:00.000,wewbet
